"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-21.553231575,-21.22655,1.31164963191385,1.07229045,-24.127745,-20.12049,1.00262842465982,1425.01196797993,1583.25660357733
"a",38.65109455,38.65175,1.5043710288268,1.39964853,36.27515,41.06387,1.00038816239027,1451.17773535249,1338.69001415419
"b",0.75608415625,0.7554515,0.0939625865788479,0.0856031001,0.6042861,0.90376565,1.00044587035247,1493.90162662555,1255.5095675908
"sigma",2.8926420025,2.796705,0.624875817332201,0.571015976999999,2.0755445,4.0578745,1.00132825902675,1719.54367195746,1957.41430378757
"y_base[1]",43.943682225,43.9568,0.987982501217622,0.920620470000001,42.371165,45.55379,1.00211693089512,1756.4241109166,1660.34501765076
"y_base[2]",46.2119356,46.21975,0.830299694293106,0.78985515,44.87196,47.590965,1.00299606734798,2323.25292603225,1871.49514650946
"y_base[3]",50.748440175,50.7501,0.769894337806375,0.753160800000004,49.472915,52.019565,1.00337290801154,5423.72657073787,3232.27128113968
"y_base[4]",57.55319805,57.5369,1.28049157741516,1.23092865,55.451875,59.633945,1.00174284676799,2708.17415519022,1974.43815746998
"y_base[5]",42.431515025,42.4352,1.12050889929759,1.04901362999999,40.669215,44.234825,1.0014219874709,1601.34540986863,1480.1147277638
"y_base[6]",57.55319805,57.5369,1.28049157741516,1.23092865,55.451875,59.633945,1.00174284676799,2708.17415519022,1974.43815746998
"y_base[7]",58.309282525,58.30155,1.35804019056761,1.29364263,56.06629,60.50794,1.00151926470916,2568.17466057451,1872.87823659386
"y_base[8]",52.2606092,52.2664,0.837723690375122,0.824103210000005,50.89405,53.65907,1.0031061681188,4897.86322417834,3450.26715979181
"y_base[9]",51.5045244,51.50025,0.799018578123617,0.784740179999999,50.18402,52.835345,1.00311545151131,5280.98090871802,3240.07683237538
"y_base[10]",39.407177925,39.40955,1.42348115149002,1.32299811,37.150645,41.68589,1.00044265856982,1466.61381679786,1384.7151559176
"y_base[11]",42.431515025,42.4352,1.12050889929759,1.04901362999999,40.669215,44.234825,1.0014219874709,1601.34540986863,1480.1147277638
"y_base[12]",41.67543065,41.6802,1.19236994936539,1.11899235,39.79315,43.58564,1.00099415646253,1552.21828612364,1428.83993639882
"y_base[13]",53.0166932,53.01925,0.884754078625056,0.867839909999997,51.58614,54.48389,1.00316661125548,4441.26192715289,3269.86034076063
"y_base[14]",46.2119356,46.21975,0.830299694293106,0.78985515,44.87196,47.590965,1.00299606734798,2323.25292603225,1871.49514650946
"y_base[15]",54.528862075,54.5313,0.998891414107904,0.977033399999998,52.918335,56.16857,1.00239015122135,3651.80115203274,3139.84796246893
"yp_base[1]",39.650110425,39.65295,1.39783705520066,1.29794217,37.44691,41.889875,1.00053370058769,1472.61264232226,1390.88288790321
"yp_base[2]",39.3893807,39.3909,1.42536520871567,1.3247031,37.12736,41.67238,1.00042691948635,1466.40281291664,1384.7151559176
"yp_base[3]",38.70020145,38.7013,1.49907024256735,1.39327335,36.330925,41.103715,1.00038813945932,1451.87845289343,1338.69001415419
